sales_date;order_id;product_name;category;price;quantity;total;discount;shipping_fee;total_sales;customer_name;customer_address;channel;rating;status;
01/01/2025;P00018;Deterjen;pembersih;10000;3;;0.15;18000;;Iwan;Palembang;Offline;3;Sukses;
01/01/2025;P00019;Sabun Mandi;PEMBERSIH;7000;1;;0.15;15000;;Arief;Jakarta;Online - Toko Hijau;2;Pending;
01/01/2025;P00020;Kopi;Makanan;25000;1;;0.15;18000;;Hana;Yogyakarta;Online - Toko Hijau;4;Sukses;
01/01/2025;P00021;  Teh ;makanan;15000;3;;0.15;18000;;Joko;Palembang;Online - Toko Hijau;1;Pending;
01/01/2025;P00022;Sabun Cuci;Pembersih;5000;2;;0.15;12000;;Oki;Bekasi;Online - Toko Oren;3;Returned;
01/01/2025;P00023;Kopi;Makanan;25000;3;;0.15;15000;;Widi;Semarang;Offline;4;Returned;
01/01/2025;P00024;Teh;makanan;15000;2;;0.15;10000;;Udin;Depok;Offline;4;Pending;
01/01/2025;P00025;Teh;makanan;15000;2;;0.15;0;;Vira;Bandung;Offline;3;Pending;
01/01/2025;P00026;Shampo;Perawatan;20000;2;;0.15;12000;;Nanda;Bogor;Online - Toko Oren;3;Pending;
01/01/2025;P00027;Kopi;MAKANAN;25000;2;;0.15;12000;;Lia;Bogor;Online - Toko Hijau;4;Pending;
01/01/2025;P00028;Deterjen;Pembersih;10000;3;;0.15;30000;;Udin;Samarinda;Offline;2;Pending;
01/01/2025;P00029;Teh;makanan;15000;3;;0.15;15000;;Petrus;Jakarta;Online - Toko Oren;2;Failed;
01/01/2025;P00030;Sabun Cuci;pembersih;5000;1;;0.15;18000;;Pandu;Yogyakarta;Online - Toko Oren;4;Returned;
01/01/2025;P00031;Pasta Gigi;PERAWATAN;15000;3;;0.15;13000;;Dina;Tangerang;Offline;3;Sukses;
01/01/2025;P00032;Kopi;makanan;25000;1;;0.15;25000;;Nico;Bali;Online - Toko Hijau;5;Failed;
01/01/2025;P00033;Minyak Goreng;Makanan;18000;3;;0.15;15000;;Nico;Semarang;Offline;3;Returned;
01/01/2025;P00034;Sabun Cuci;Pembersih;5000;1;;0.15;12000;;Tina;Bogor;Online - Toko Oren;2;Returned;
01/01/2025;P00035;Sabun Mandi;PEMBERSIH;7000;1;;0.15;22000;;Fadli;Makassar;Offline;3;Failed;
01/01/2025;P00036;Pembersih Wajah;Perawatan;12000;1;;0.15;20000;;Tina;Malang;Online - Toko Oren;4;Sukses;
01/01/2025;P00037;Sabun Mandi;PEMBERSIH;7000;1;;0.15;22000;;Nadia;Makassar;Online - Toko Hijau;1;Returned;
01/01/2025;P00038;Shampo;perawatan;20000;2;;0.15;12000;;Ulya;Bogor;Offline;5;Returned;
01/01/2025;P00039;Sabun Mandi;PEMBERSIH;7000;1;;0.15;18000;;Tegar;Yogyakarta;Online - Toko Hijau;2;Returned;
01/01/2025;P00040;Pasta Gigi;Perawatan;15000;1;;0.15;20000;;Andi;Surabaya;Offline;3;Pending;
01/01/2025;P00041;  Pembersih Lantai ;pembersih;8000;3;;0.15;12000;;Gina;Bogor;Online - Toko Hijau;1;Returned;
01/01/2025;P00042;Pasta Gigi;PERAWATAN;15000;1;;0.15;12000;;Eka;Bekasi;Online - Toko Hijau;1;Returned;
01/01/2025;P00043;Minyak Goreng;MAKANAN;18000;2;;0.15;12000;;Meli;Bogor;Online - Toko Hijau;1;Pending;
01/01/2025;P00044;Teh;MAKANAN;15000;2;;0.15;20000;;Mutiara;Malang;Offline;2;Sukses;
01/01/2025;P00045;Minyak Goreng;makanan;18000;1;;0.15;12000;;Yusuf;Bogor;hijau_toko_web;1;Failed;
01/01/2025;P00046;Pembersih Lantai;pembersih;8000;1;;0.15;20000;;Putri;Surabaya;Online - Toko Hijau;3;Failed;
01/01/2025;P00047;Shampo;Perawatan;20000;2;;0.15;12000;;Jamil;Bekasi;Offline;5;Failed;
01/01/2025;P00048;  Pembersih Lantai ;pembersih;8000;2;;0.15;22000;;Meli;Makassar;Offline;1;Pending;
01/01/2025;P00049;Pembersih Lantai;Pembersih;8000;3;;0.15;15000;;Vera;Jakarta;Online - Toko Hijau;4;Pending;
02/01/2025;P00050;Sabun Mandi;PEMBERSIH;7000;3;;0;15000;;Herry;Semarang;Online - Toko Hijau;1;Sukses;
02/01/2025;P00051;Deterjen;Pembersih;10000;2;;0;12000;;Ulya;Bogor;Online - Toko Hijau;5;Failed;
02/01/2025;P00052;  Pembersih Lantai ;PEMBERSIH;8000;1;;0;18000;;Kenny;Yogyakarta;Online - Toko Hijau;4;Returned;
02/01/2025;P00053;Sabun Cuci;pembersih;5000;3;;0;25000;;Stefan;Bali;Online - Toko Hijau;4;Returned;
02/01/2025;P00054;Shampo;perawatan;20000;2;;0;20000;;Jamil;Surabaya;Offline;4;Sukses;
02/01/2025;P00055;Pembersih Wajah;Perawatan;12000;1;;0;12000;;Lia;Bogor;Online - Toko Oren;1;Sukses;
02/01/2025;P00056;Minyak Goreng;MAKANAN;18000;1;;0;18000;;Meli;Yogyakarta;Online - Toko Hijau;5;Failed;
02/01/2025;P00057;Pembersih Lantai;PEMBERSIH;8000;2;;0;15000;;Mutiara;Semarang;Toko_Oren_Online;3;Pending;
02/01/2025;P00058;  Sabun Cuci ;PEMBERSIH;5000;2;;0;13000;;Cindy;Tangerang;Offline;5;Failed;
02/01/2025;P00059;  Deterjen ;pembersih;10000;3;;0;20000;;Nanda;Malang;Online - Toko Hijau;4;Returned;
02/01/2025;P00060;Pembersih Wajah;PERAWATAN;12000;1;;0;25000;;Kiki;Bali;Online - Toko Hijau;5;Pending;
02/01/2025;P00061;  Pembersih Lantai ;PEMBERSIH;8000;3;;0;18000;;Arief;Yogyakarta;Offline;1;Pending;
02/01/2025;P00062;Teh;makanan;15000;1;;0;20000;;Zara;Malang;Online - Toko Hijau;2;Failed;
02/01/2025;P00063;Minyak Goreng;Makanan;18000;3;;0;15000;;Hendra;Semarang;Online - Toko Hijau;2;Returned;
02/01/2025;P00064;Sabun Cuci;Pembersih;5000;2;;0;30000;;Pandu;Samarinda;Online - Toko Oren;1;Failed;
02/01/2025;P00065;Deterjen;Pembersih;10000;2;;0;13000;;Yusra;Tangerang;Online - Toko Oren;3;Sukses;
02/01/2025;P00066;  Shampo ;perawatan;20000;2;;0;18000;;Gita;Palembang;Online - Toko Hijau;3;Sukses;
02/01/2025;P00067;Pasta Gigi;PERAWATAN;15000;3;;0;30000;;Krisna;Samarinda;Online - Toko Oren;1;Pending;
02/01/2025;P00068;Sabun Cuci;PEMBERSIH;5000;2;;0;15000;;Yuni;Jakarta;Online - Toko Hijau;5;Failed;
02/01/2025;P00069;  Kopi ;MAKANAN;25000;2;;0;22000;;Fikri;Makassar;Offline;2;Failed;
02/01/2025;P00070;Sabun Mandi;Pembersih;7000;1;;0;10000;;Gandhi;Depok;Online - Toko Oren;3;Pending;
02/01/2025;P00071;  Deterjen ;PEMBERSIH;10000;1;;0;20000;;Beni;Malang;Online - Toko Hijau;5;Sukses;
02/01/2025;P00072;Shampo;PERAWATAN;20000;3;;0;13000;;Vian;Tangerang;Online - Toko Oren;5;Failed;
02/01/2025;P00073;  Sabun Cuci ;Pembersih;5000;1;;0;22000;;Sari;Makassar;Online - Toko Hijau;3;Sukses;
02/01/2025;P00074;Pembersih Lantai;Pembersih;8000;1;;0;13000;;Widi;Tangerang;Online - Toko Oren;1;Returned;
02/01/2025;P00075;  Sabun Cuci ;PEMBERSIH;5000;3;;0;0;;Ocha;Bandung;Offline;5;Returned;
02/01/2025;P00076;  Kopi ;makanan;25000;3;;0;25000;;Anisa;Medan;Offline;5;Failed;
02/01/2025;P00077;Shampo;PERAWATAN;20000;1;;0;0;;Wira;Bandung;Online - Toko Hijau;2;Pending;
02/01/2025;P00078;Pembersih Lantai;PEMBERSIH;8000;1;;0;13000;;Widi;Tangerang;Online - Toko Hijau;1;Failed;
02/01/2025;P00079;Sabun Mandi;PEMBERSIH;7000;3;;0;30000;;Lina;Samarinda;Offline;3;Pending;
02/01/2025;P00080;Pembersih Lantai;Pembersih;8000;3;;0;20000;;Mira;Surabaya;Offline;3;Pending;
02/01/2025;P00081;  Sabun Mandi ;pembersih;7000;3;;0;25000;;Luki;Bali;Online - Toko Hijau;2;Sukses;
02/01/2025;P00082;Sabun Mandi;Pembersih;7000;1;;0;18000;;Juli;Yogyakarta;Online - Toko Hijau;4;Failed;
02/01/2025;P00082;Sabun Mandi;Pembersih;7000;1;;0;18000;;Juli;Yogyakarta;Online - Toko Hijau;4;Failed;
02/01/2025;P00083;Minyak Goreng;MAKANAN;18000;1;;0;18000;;Udin;Palembang;Online - Toko Oren;4;Failed;
02/01/2025;P00084;  Pembersih Lantai ;PEMBERSIH;8000;2;;0;10000;;Nico;Depok;Offline;3;Returned;
02/01/2025;P00085;  Minyak Goreng ;Makanan;18000;2;;0;15000;;Aulia;Semarang;Online - Toko Oren;3;Pending;
02/01/2025;P00086;  Pembersih Wajah ;PERAWATAN;12000;2;;0;13000;;Vina;Tangerang;Toko_Oren_Online;4;Pending;
02/01/2025;P00087;Sabun Mandi;PEMBERSIH;7000;1;;0;18000;;Oki;Palembang;Online - Toko Hijau;4;Failed;
02/01/2025;P00088;Kopi;Makanan;25000;1;;0;18000;;Bintang;Palembang;hijau_toko_web;1;Sukses;
02/01/2025;P00089;Pembersih Lantai;PEMBERSIH;8000;1;;0;30000;;Widi;Samarinda;Online - Toko Oren;2;Failed;
02/01/2025;P00090;Pasta Gigi;perawatan;15000;3;;0;18000;;Santi;Palembang;Offline;3;Pending;
02/01/2025;P00091;Pembersih Wajah;PERAWATAN;12000;3;;0;20000;;Zahra;Malang;Offline;2;Failed;
02/01/2025;P00092;Shampo;Perawatan;20000;3;;0;25000;;Arief;Medan;Online - Toko Oren;4;Sukses;
02/01/2025;P00093;Kopi;makanan;25000;3;;0;0;;Hendra;Bandung;Online - Toko Hijau;5;Sukses;
02/01/2025;P00094;Deterjen;PEMBERSIH;10000;3;;0;18000;;Dina;Yogyakarta;Online - Toko Hijau;2;Sukses;
02/01/2025;P00095;Sabun Mandi;pembersih;7000;3;;0;20000;;Chandra;Malang;Online - Toko Hijau;4;Returned;
02/01/2025;P00096;Shampo;PERAWATAN;20000;2;;0;18000;;Widi;Palembang;Offline;4;Sukses;
02/01/2025;P00097;Pembersih Wajah;PERAWATAN;12000;2;;0;25000;;Maya;Bali;Offline;1;Pending;
02/01/2025;P00098;Pasta Gigi;Perawatan;15000;3;;0;25000;;Oto;Bali;Online - Toko Hijau;1;Sukses;
02/01/2025;P00099;Kopi;Makanan;25000;3;;0;13000;;Gandhi;Tangerang;Online - Toko Hijau;4;Returned;
02/01/2025;P00100;Shampo;PERAWATAN;20000;2;;0;15000;;Vina;Jakarta;Offline;5;Failed;
02/01/2025;P00101;Teh;Makanan;15000;1;;0;30000;;Jamil;Samarinda;Online - Toko Hijau;2;Pending;
02/01/2025;P00102;Pasta Gigi;PERAWATAN;15000;2;;0;15000;;Elisa;Jakarta;Online - Toko Oren;3;Failed;
02/01/2025;P00103;  Minyak Goreng ;makanan;18000;2;;0;18000;;Iwan;Palembang;Offline;5;Pending;
02/01/2025;P00104;Sabun Cuci;PEMBERSIH;5000;2;;0;30000;;Joko;Samarinda;Online - Toko Oren;1;Returned;
02/01/2025;P00105;Sabun Mandi;PEMBERSIH;7000;1;;0;20000;;Wira;Surabaya;Toko_Oren_Online;1;Returned;
02/01/2025;P00106;Kopi;MAKANAN;25000;1;;0;12000;;Citra;Bogor;Online - Toko Hijau;2;Sukses;
02/01/2025;P00107;Pembersih Lantai;PEMBERSIH;8000;3;;0;13000;;Vian;Tangerang;Online - Toko Hijau;4;Returned;
02/01/2025;P00108;Pasta Gigi;Perawatan;15000;3;;0;18000;;Yusuf;Palembang;Online - Toko Oren;2;Failed;
03/01/2025;P00109;  Pembersih Wajah ;PERAWATAN;12000;3;;0;12000;;Vian;Bogor;Online - Toko Hijau;2;Pending;
03/01/2025;P00110;  Teh ;MAKANAN;15000;3;;0;25000;;Nia;Medan;hijau_toko_web;5;Failed;
03/01/2025;P00111;Pembersih Lantai;Pembersih;8000;3;;0;10000;;Wira;Depok;Online - Toko Oren;4;Pending;
03/01/2025;P00112;  Kopi ;MAKANAN;25000;2;;0;12000;;Ika;Bogor;Online - Toko Hijau;2;Returned;
03/01/2025;P00113;  Shampo ;Perawatan;20000;2;;0;30000;;Aulia;Samarinda;Offline;1;Failed;
03/01/2025;P00114;Shampo;perawatan;20000;2;;0;0;;Ocha;Bandung;Online - Toko Hijau;1;Failed;
03/01/2025;P00115;Pembersih Wajah;Perawatan;12000;2;;0;18000;;Rudi;Yogyakarta;Online - Toko Oren;3;Returned;
03/01/2025;P00116;Pembersih Wajah;Perawatan;12000;2;;0;25000;;Fadli;Bali;Online - Toko Hijau;3;Returned;
03/01/2025;P00117;Shampo;PERAWATAN;20000;1;;0;25000;;Deni;Bali;Online - Toko Hijau;5;Returned;
03/01/2025;P00118;Pasta Gigi;PERAWATAN;15000;2;;0;25000;;Hadi;Bali;Online - Toko Oren;5;Pending;
03/01/2025;P00119;Pembersih Wajah;PERAWATAN;12000;3;;0;25000;;Yusuf;Bali;Offline;2;Failed;
03/01/2025;P00120;Kopi;MAKANAN;25000;1;;0;13000;;Maya;Tangerang;Online - Toko Hijau;4;Failed;
03/01/2025;P00121;Minyak Goreng;makanan;18000;2;;0;10000;;Zahra;Depok;Offline;3;Sukses;
03/01/2025;P00122;Teh;makanan;15000;1;;0;12000;;Hadi;Bekasi;Online - Toko Oren;3;Pending;
03/01/2025;P00123;Pasta Gigi;PERAWATAN;15000;3;;0;13000;;Mutiara;Tangerang;Offline;4;Failed;
03/01/2025;P00124;Sabun Mandi;PEMBERSIH;7000;1;;0;10000;;Meli;Depok;Online - Toko Oren;2;Returned;
03/01/2025;P00125;Sabun Mandi;pembersih;7000;3;;0;10000;;Zahra;Depok;Online - Toko Hijau;1;Failed;
03/01/2025;P00126;Pasta Gigi;Perawatan;15000;3;;0;18000;;Fadli;Palembang;Online - Toko Oren;3;Returned;
03/01/2025;P00127;Sabun Cuci;PEMBERSIH;5000;1;;0;15000;;Dicky;Jakarta;Offline;3;Returned;
03/01/2025;P00128;Sabun Mandi;Pembersih;7000;3;;0;12000;;Gandhi;Bekasi;Online - Toko Oren;2;Pending;
03/01/2025;P00129;Kopi;Makanan;25000;2;;0;0;;Ika;Bandung;Online - Toko Oren;2;Sukses;
03/01/2025;P00130;Minyak Goreng;makanan;18000;2;;0;0;;Mutiara;Bandung;Online - Toko Oren;2;Returned;
03/01/2025;P00131;  Sabun Cuci ;pembersih;5000;2;;0;18000;;Zahra;Palembang;Offline;1;Sukses;
03/01/2025;P00132;  Pasta Gigi ;Perawatan;15000;3;;0;18000;;Putra;Yogyakarta;Online - Toko Hijau;4;Returned;
03/01/2025;P00133;Pembersih Wajah;Perawatan;12000;-99;;0;15000;;Vera;Jakarta;Online - Toko Hijau;5;Failed;
03/01/2025;P00134;  Sabun Cuci ;Pembersih;5000;3;;0;18000;;Tegar;Yogyakarta;Online - Toko Hijau;2;Pending;
03/01/2025;P00135;Sabun Mandi;pembersih;7000;1;;0;15000;;Mutiara;Semarang;Online - Toko Oren;1;Failed;
03/01/2025;P00136;  Pembersih Lantai ;Pembersih;8000;2;;0;10000;;Stefan;Depok;Offline;4;Returned;
03/01/2025;P00137;Shampo;PERAWATAN;20000;2;;0;18000;;Kirana;Yogyakarta;Online - Toko Hijau;5;Failed;
03/01/2025;P00138;Pembersih Lantai;PEMBERSIH;8000;2;;0;22000;;Kiki;Makassar;Online - Toko Oren;3;Failed;
03/01/2025;P00139;Minyak Goreng;MAKANAN;18000;2;;0;15000;;Andi;Jakarta;Offline;4;Pending;
03/01/2025;P00140;Sabun Cuci;Pembersih;5000;1;;0;20000;;Eka;Surabaya;Offline;1;Returned;
03/01/2025;P00141;  Pasta Gigi ;perawatan;15000;2;;0;10000;;Zenia;Depok;Online - Toko Hijau;5;Returned;
03/01/2025;P00142;  Minyak Goreng ;makanan;18000;2;;0;30000;;Vera;Samarinda;Online - Toko Hijau;4;Pending;
03/01/2025;P00143;Teh;MAKANAN;15000;3;;0;30000;;Elisa;Samarinda;Offline;4;Sukses;
03/01/2025;P00144;Shampo;PERAWATAN;20000;1;;0;25000;;Shinta;Medan;Online - Toko Oren;2;Returned;
03/01/2025;P00145;Pembersih Wajah;Perawatan;12000;3;;0;0;;Vira;Bandung;Offline;2;Returned;
03/01/2025;P00146;Sabun Mandi;pembersih;7000;3;;0;22000;;Nia;Makassar;Online - Toko Hijau;4;Sukses;
03/01/2025;P00147;  Shampo ;PERAWATAN;20000;2;;0;15000;;Irma;Semarang;Online - Toko Oren;4;Pending;
03/01/2025;P00148;Pembersih Lantai;Pembersih;8000;2;;0;12000;;Yusuf;Bogor;Offline;4;Pending;
03/01/2025;P00149;Deterjen;PEMBERSIH;10000;3;;0;10000;;Riko;Depok;Online - Toko Oren;5;Pending;
03/01/2025;P00150;Teh;MAKANAN;15000;2;;0;12000;;Eka;Bogor;Online - Toko Hijau;2;Pending;
03/01/2025;P00151;Teh;Makanan;15000;3;;0;22000;;Lestari;Makassar;Offline;3;Sukses;
03/01/2025;P00152;Teh;MAKANAN;15000;2;;0;25000;;Shinta;Bali;Online - Toko Hijau;5;Sukses;
03/01/2025;P00153;Teh;MAKANAN;15000;2;;0;25000;;Chandra;Bali;Online - Toko Hijau;3;Returned;
03/01/2025;P00154;Shampo;perawatan;20000;2;;0;18000;;Eka;Palembang;Online - Toko Hijau;1;Failed;
03/01/2025;P00155;Pasta Gigi;Perawatan;15000;2;;0;12000;;Juli;Bekasi;Online - Toko Hijau;4;Failed;
03/01/2025;P00156;  Deterjen ;PEMBERSIH;10000;2;;0;15000;;Widi;Semarang;Offline;3;Sukses;
03/01/2025;P00157;Pasta Gigi;PERAWATAN;15000;3;;0;12000;;Kiki;Bogor;Offline;1;Pending;
03/01/2025;P00158;Sabun Cuci;PEMBERSIH;5000;1;;0;15000;;Yusuf;Semarang;Online - Toko Hijau;3;Sukses;
03/01/2025;P00159;Pembersih Wajah;perawatan;12000;3;;0;12000;;Zara;Bogor;Online - Toko Hijau;5;Pending;
03/01/2025;P00160;Teh;Makanan;15000;2;;0;30000;;Riko;Samarinda;Online - Toko Oren;5;Pending;
03/01/2025;P00161;Kopi;makanan;25000;3;;0;20000;;Tian;Malang;Online - Toko Hijau;4;Pending;
03/01/2025;P00162;Shampo;PERAWATAN;20000;2;;0;18000;;Rudi;Palembang;Offline;1;Pending;
03/01/2025;P00163;Pasta Gigi;perawatan;15000;1;;0;25000;;Dina;Bali;Offline;3;Failed;
03/01/2025;P00164;Sabun Cuci;PEMBERSIH;5000;2;;0;0;;Vina;Bandung;Offline;5;Failed;
04/01/2025;P00165;Deterjen;PEMBERSIH;10000;1;;0;10000;;Mira;Depok;Offline;2;Failed;
04/01/2025;P00166;Pembersih Lantai;PEMBERSIH;8000;1;;0;20000;;Pandu;Surabaya;Online - Toko Oren;1;Failed;
04/01/2025;P00167;Sabun Mandi;Pembersih;7000;3;;0;25000;;Nadia;Bali;Online - Toko Hijau;3;Failed;
04/01/2025;P00168;  Sabun Mandi ;PEMBERSIH;7000;2;;0;10000;;Santi;Depok;Offline;4;Failed;
04/01/2025;P00169;Sabun Cuci;PEMBERSIH;5000;2;;0;25000;;Vina;Medan;Online - Toko Hijau;5;Pending;
04/01/2025;P00170;Sabun Cuci;PEMBERSIH;5000;3;;0;0;;Vina;Bandung;Offline;3;Sukses;
04/01/2025;P00171;Sabun Cuci;Pembersih;5000;1;;0;12000;;Deni;Bekasi;Offline;2;Returned;
04/01/2025;P00172;Pembersih Lantai;PEMBERSIH;8000;2;;0;30000;;Eka;Samarinda;Online - Toko Hijau;2;Sukses;
04/01/2025;P00173;  Pembersih Wajah ;PERAWATAN;12000;-99;;0;20000;;Irma;Malang;hijau_toko_web;3;Returned;
04/01/2025;P00174;Shampo;Perawatan;20000;3;;0;10000;;Rian;Depok;Online - Toko Hijau;1;Sukses;
04/01/2025;P00175;  Minyak Goreng ;MAKANAN;18000;3;;0;22000;;Cahya;Makassar;Offline;5;Failed;
04/01/2025;P00176;Sabun Mandi;PEMBERSIH;7000;1;;0;13000;;Yusuf;Tangerang;Online - Toko Oren;1;Returned;
04/01/2025;P00177;Sabun Mandi;pembersih;7000;2;;0;22000;;Ocha;Makassar;hijau_toko_web;3;Sukses;
04/01/2025;P00178;Deterjen;Pembersih;10000;3;;0;18000;;Nanda;Yogyakarta;Online - Toko Oren;1;Returned;
04/01/2025;P00179;Teh;makanan;15000;2;;0;15000;;Dewa;Semarang;Online - Toko Oren;5;Pending;
04/01/2025;P00180;  Teh ;MAKANAN;15000;3;;0;30000;;Krisna;Samarinda;Online - Toko Hijau;3;Pending;
04/01/2025;P00181;Kopi;Makanan;25000;1;;0;25000;;Yuni;Medan;Online - Toko Oren;4;Returned;
04/01/2025;P00182;Kopi;Makanan;25000;3;;0;12000;;Dicky;Bekasi;Online - Toko Oren;4;Pending;
04/01/2025;P00183;Pembersih Wajah;PERAWATAN;12000;2;;0;15000;;Siska;Jakarta;Online - Toko Hijau;3;Pending;
04/01/2025;P00184;  Deterjen ;Pembersih;10000;2;;0;15000;;Zenia;Semarang;Online - Toko Oren;3;Failed;
04/01/2025;P00185;Pembersih Lantai;pembersih;8000;3;;0;22000;;Vina;Makassar;Online - Toko Hijau;1;Returned;
04/01/2025;P00186;Deterjen;PEMBERSIH;10000;1;;0;15000;;Yusuf;Jakarta;Offline;1;Returned;
04/01/2025;P00187;Kopi;Makanan;25000;2;;0;25000;;Ulya;Medan;Offline;3;Sukses;
04/01/2025;P00188;Teh;Makanan;15000;2;;0;15000;;Zara;Semarang;Offline;3;Sukses;
04/01/2025;P00189;Kopi;makanan;25000;2;;0;25000;;Gandhi;Medan;Offline;2;Pending;
04/01/2025;P00190;  Sabun Mandi ;PEMBERSIH;7000;3;;0;25000;;Nico;Bali;Offline;2;Returned;
04/01/2025;P00191;Sabun Cuci;pembersih;5000;2;;0;30000;;Vian;Samarinda;Online - Toko Oren;5;Failed;
04/01/2025;P00192;Sabun Mandi;pembersih;7000;1;;0;12000;;Luki;Bekasi;Offline;5;Pending;
04/01/2025;P00193;  Pasta Gigi ;Perawatan;15000;3;;0;12000;;Citra;Bekasi;Online - Toko Hijau;3;Pending;
04/01/2025;P00194;Pasta Gigi;perawatan;15000;2;;0;18000;;Lia;Yogyakarta;Offline;3;Pending;
04/01/2025;P00195;  Pembersih Lantai ;pembersih;8000;1;;0;10000;;Vina;Depok;Online - Toko Hijau;1;Returned;
04/01/2025;P00196;Sabun Mandi;Pembersih;7000;1;;0;13000;;Tian;Tangerang;Online - Toko Hijau;5;Pending;
04/01/2025;P00197;Minyak Goreng;Makanan;18000;3;;0;20000;;Pandu;Malang;Offline;1;Sukses;
04/01/2025;P00198;Pembersih Wajah;PERAWATAN;12000;3;;0;30000;;Umar;Samarinda;Online - Toko Oren;1;Sukses;
04/01/2025;P00199;  Pembersih Wajah ;perawatan;12000;1;;0;10000;;Lestari;Depok;Online - Toko Hijau;5;Failed;
04/01/2025;P00200;Pasta Gigi;perawatan;15000;2;;0;18000;;Gandhi;Palembang;Online - Toko Oren;5;Pending;
04/01/2025;P00201;Deterjen;Pembersih;10000;3;;0;15000;;Nanda;Jakarta;Offline;5;Returned;
04/01/2025;P00202;Deterjen;Pembersih;10000;1;;0;13000;;Beni;Tangerang;Online - Toko Oren;1;Pending;
04/01/2025;P00203;  Deterjen ;pembersih;10000;2;;0;25000;;Fadli;Medan;Online - Toko Oren;1;Returned;
04/01/2025;P00204;Kopi;MAKANAN;25000;1;;0;30000;;Umi;Samarinda;Online - Toko Hijau;4;Sukses;
04/01/2025;P00205;Pasta Gigi;Perawatan;15000;1;;0;15000;;Bobby;Jakarta;Online - Toko Hijau;1;Sukses;
04/01/2025;P00206;  Minyak Goreng ;MAKANAN;18000;2;;0;25000;;Petrus;Bali;Online - Toko Hijau;2;Returned;
04/01/2025;P00207;  Shampo ;PERAWATAN;20000;3;;0;12000;;Putri;Bogor;Online - Toko Hijau;4;Returned;
04/01/2025;P00208;  Deterjen ;Pembersih;10000;1;;0;25000;;Siska;Bali;Offline;5;Failed;
04/01/2025;P00209;Pembersih Wajah;Perawatan;12000;1;;0;18000;;Kiki;Palembang;Online - Toko Hijau;4;Failed;
04/01/2025;P00210;Minyak Goreng;Makanan;18000;1;;0;18000;;Udin;Yogyakarta;Online - Toko Hijau;3;Pending;
04/01/2025;P00211;Shampo;perawatan;20000;3;;0;18000;;Cindy;Palembang;Online - Toko Hijau;3;Failed;
04/01/2025;P00212;Teh;MAKANAN;15000;1;;0;12000;;Jamil;Bekasi;Offline;1;Pending;
04/01/2025;P00213;Pembersih Lantai;Pembersih;8000;3;;0;18000;;Elisa;Yogyakarta;Online - Toko Oren;3;Failed;
04/01/2025;P00214;Teh;MAKANAN;15000;3;;0;13000;;Stefan;Tangerang;Offline;1;Returned;
04/01/2025;P00215;Teh;MAKANAN;15000;3;;0;25000;;Pandu;Medan;Offline;2;Sukses;
04/01/2025;P00216;Pasta Gigi;Perawatan;15000;2;;0;25000;;Nia;Medan;Online - Toko Oren;5;Pending;
04/01/2025;P00217;Kopi;makanan;25000;2;;0;25000;;Cahya;Bali;Online - Toko Oren;5;Returned;
